balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,135000,3,Yes,Furdekova,71,Yes,petrzalka,other,panel,refurbished
Yes,139900,3,Yes,Na Piesku,78,Yes,ruzinov,other,brick,refurbished
Yes,100900,2,Yes,Na Piesku,54,Yes,ruzinov,other,brick,refurbished
No,124000,2,No,Račianska,53,Yes,nove_mesto,bottom,brick,refurbished
No,130000,2,No,Hollého,38,Yes,stare_mesto,other,brick,refurbished
Yes,235000,3,No,Kadnárova,90,No,raca,other,brick,refurbished
No,119990,2,No,Štefunkova,61,Yes,ruzinov,bottom,panel,refurbished
No,364900,4,Yes,Drotárska cesta,217,Yes,stare_mesto,top,brick,refurbished
Yes,84000,1,No,Pavla Horova,42,Yes,devinska_nova_ves,other,panel,partial_refurbishment
Yes,215000,3,Yes,Na Revíne,70,Yes,nove_mesto,other,brick,refurbished
